fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,oakiness_index,fruitiness_factor
7.1,0.71,0.0,2.028101636173511,-0.004685096612536466,14.024124024840672,35.0,0.9972,3.47,0.55,9.33993613100812,0.3037238516318258,6.631354653015765
7.8,0.645,0.0,2.00678555105274,0.20696189052966668,8.008450514569287,16.0,0.9964,3.38,0.59,9.770830625020674,0.9210694862995814,6.3021857531383345
6.7,0.675,0.07,2.485277367512222,0.16693490039053324,17.079799454961222,82.0,0.9958,3.35,0.54,10.03982933877706,0.3209354383194404,6.776884803674516
6.9,0.685,0.0,2.5484732817294473,0.10109804806224558,22.092350861604736,37.0,0.9966,3.46,0.57,10.785227818450894,0.2522528338551704,7.3878810556388625
8.3,0.655,0.12,2.2153643345009124,0.041209045423410945,14.89493766781722,113.0,0.9966,3.17,0.66,9.798650277526207,0.5342204099312473,6.418115931779666
6.9,0.605,0.12,10.635645016768253,-0.1295807873111377,40.086877250059075,83.0,0.9993,3.45,0.52,9.29422890710441,0.8238017499205379,5.623008488798168
5.2,0.32,0.25,1.9029960817581162,-0.00408524186844389,12.881366357289014,50.0,0.9957,3.38,0.55,9.282254491210319,0.10314676087836105,2.970321437187302
7.8,0.645,0.0,5.466522466789346,0.2771419087139724,5.058785588813773,18.0,0.9986,3.4,0.55,9.477915635002898,0.9430207096457361,6.113255584576869
7.8,0.6,0.14,2.3596351536758,-0.04204555710024668,3.061973878470287,15.0,0.9975,3.42,0.6,10.820886359500475,0.795072881181164,6.492531815700285
8.1,0.38,0.28,2.0044877420650646,0.08494798212210806,12.80886831083375,30.0,0.9968,3.23,0.73,9.504032987612021,0.18125025555155194,3.611532535292568
5.7,1.13,0.09,1.542359906559346,0.2727443973195198,7.009297924652941,19.0,0.994,3.5,0.48,9.667181395110157,0.7120079611981627,10.923914976474476
7.3,0.45,0.36,6.106252491924315,-0.05149226680022927,11.953150388663968,87.0,0.9978,3.33,0.83,10.519686123586911,0.38495872263755715,4.7338587556141105
7.3,0.45,0.36,5.793246708574573,0.09247104747810833,11.924123474206462,87.0,0.9978,3.33,0.83,10.57384665799954,0.4022946780763187,4.758230996099793
8.8,0.61,0.3,2.8024219456672754,0.1817915537510655,17.1350852330699,46.0,0.9976,3.26,0.51,9.317136828118997,0.7832900924388664,5.683453465152588
7.5,0.49,0.2,2.741222055541543,0.3332499321907251,7.934632085936258,14.0,0.9968,3.21,0.9,10.488435171761177,0.9627848079807322,5.139333234162977
8.1,0.66,0.22,2.1920358608754285,0.35584030556667684,8.919362307088194,23.0,0.9968,3.3,1.2,10.269889630441071,0.12665587284719393,6.778127156091107
6.8,0.67,0.02,1.8452371796249734,-0.11685992588781953,5.007569494000509,11.0,0.9962,3.48,0.52,9.352147800963257,0.4206302368788194,6.265939026645382
4.6,0.52,0.15,1.9937606471853122,0.15987285298838788,8.068558974629841,65.0,0.9934,3.9,0.56,13.02801557916053,0.48094160808430353,6.774568101163475
7.7,0.935,0.43,2.242830709720765,0.09671982626035357,21.985835141398987,114.0,0.997,3.25,0.73,9.153936122904021,0.3763118169549976,8.55893027491526
8.7,0.29,0.52,1.5812855734995452,0.19019201548366751,12.116637054566926,37.0,0.9969,3.25,0.58,9.605712222621891,0.363189123716225,2.7856565445603483
6.4,0.4,0.23,1.6985729995679864,0.11013071516992459,5.053097566196409,12.0,0.9958,3.34,0.56,9.234361828956846,0.05226866756159654,3.6937447315827385
5.6,0.31,0.37,1.518738605156475,0.0006843802890003359,11.782178868026858,96.0,0.9954,3.32,0.58,9.023695984463727,0.6855386205626233,2.797345755183755
8.8,0.66,0.26,1.9589563642018613,0.09689963924593402,3.947053303649299,23.0,0.9971,3.15,0.74,9.232408396939478,0.4362144171200454,6.093389541980056
6.6,0.52,0.04,2.257963317321358,-0.11679014513982872,7.94381579006483,15.0,0.9956,3.4,0.63,9.361491771958368,0.19479380264392676,4.867975721418352
6.6,0.5,0.04,2.1325796316582166,0.1283247500571394,6.047936095342942,14.0,0.9955,3.39,0.64,9.332307799969405,0.8160335023020684,4.666153899984702
8.6,0.38,0.36,3.0194384301577335,0.11081584659905257,29.737518294362587,119.0,0.997,3.2,0.56,9.461167628884088,0.8025607481516279,3.5952436989759535
7.6,0.51,0.15,2.764683370718931,0.17386601686431025,33.25490097087177,73.0,0.9955,3.17,0.63,10.303099952249594,0.4863916280888938,5.254580975647293
7.7,0.62,0.04,3.833848384346169,0.18981183250871503,25.05310260948942,45.0,0.9978,3.34,0.53,9.59312801191162,0.29845066114776053,5.947739367385204
10.2,0.42,0.57,3.370459858986097,0.10676198402097109,4.0148876803917695,10.0,0.9971,3.04,0.63,9.516078247677736,0.6380927257964524,3.996752864024649
7.5,0.63,0.12,5.116846097626961,0.12580894197982762,50.118156771641914,110.0,0.9983,3.26,0.77,9.36907876241488,0.28815213577740306,5.902519620321375
7.8,0.59,0.18,2.431759753560796,-0.012106833666129233,17.234365405281263,54.0,0.9975,3.43,0.59,10.033126343140356,0.23600793032371203,5.91954454245281
7.3,0.39,0.31,2.2993457434720357,0.002777923635094895,9.087074664458841,46.0,0.9962,3.41,0.54,9.497554512712236,0.7305146540263266,3.704046259957772
8.8,0.4,0.4,2.3139878561129046,0.19767346201773311,19.09488130964716,52.0,0.998,3.44,0.64,9.15208257621547,0.0403252397209507,3.660833030486188
7.7,0.69,0.49,1.9317115067339865,0.25863354057059784,20.01306900244644,112.0,0.9968,3.21,0.71,9.28143410233362,0.09476847103459396,6.404189530610197
7.5,0.52,0.16,1.888193147300892,0.061188956368794595,11.985847424663305,35.0,0.9968,3.38,0.62,9.389366502599398,0.006788174023589777,4.882470581351687
7.0,0.735,0.05,1.7878145100991405,0.08560027472532741,12.95242045559951,54.0,0.9966,3.39,0.57,9.680379337591933,0.15294318647542615,7.115078813130071
7.2,0.725,0.05,4.589217801290557,-0.004461437499376622,3.9173888008285456,11.0,0.9962,3.41,0.39,10.98125258223942,0.06899000871045946,7.96140812212358
7.2,0.725,0.05,4.779699454656111,0.2032756845267445,3.93129859003005,11.0,0.9962,3.41,0.39,11.035624002857082,0.9958023677799186,8.000827402071383
7.5,0.52,0.11,1.4977131937701118,0.14554168236917786,10.864944403565701,39.0,0.9968,3.42,0.58,9.592798987841967,0.2888099699540896,4.988255473677823
6.6,0.705,0.07,1.5000697767705091,0.2701217436463749,5.992412854931498,15.0,0.9962,3.44,0.58,10.800353289789202,0.14926801266924727,7.614249069301387
9.3,0.32,0.57,1.9495225078771783,-0.013832307717973905,26.831533242277363,65.0,0.9969,3.28,0.79,10.736163602504762,0.24099625799591795,3.435572352801524
8.0,0.705,0.05,1.9840620026504552,0.036199210098178274,8.019091652414371,19.0,0.9962,3.34,0.95,10.435488024539488,0.9361255715401346,7.357019057300339
7.7,0.63,0.08,1.9546733568201378,0.09914459225255723,14.996366939195767,27.0,0.9967,3.32,0.54,9.536139560550842,0.5201602230243957,6.00776792314703
7.7,0.67,0.23,2.076106790083031,0.15264895377257706,17.01469352983867,96.0,0.9962,3.32,0.48,9.653803656646597,0.3648180963078569,6.46804844995322
7.7,0.69,0.22,1.8633175588185311,0.06243323624523677,17.947786842998,94.0,0.9961,3.31,0.48,9.496417396089004,0.8733914579092193,6.552528003301412
8.3,0.675,0.26,2.0608241850956177,-0.0032961090453700465,11.307686037018051,43.0,0.9976,3.31,0.53,9.3564643655814,0.39499027054903246,6.315613446767446
9.7,0.32,0.54,2.40775898155015,0.18214075289235712,28.136011590018033,83.0,0.9984,3.28,0.82,9.338025489591026,0.3350085699576958,2.9881681566691283
8.8,0.41,0.64,2.3615375689469444,0.16511353625455816,8.875545749991527,42.0,0.9986,3.54,0.66,10.582190250437522,0.20728252254973556,4.338698002679384
8.8,0.41,0.64,2.167767953078866,0.001372589943627503,9.02328680874269,42.0,0.9986,3.54,0.66,10.508704706823817,0.3777968239094115,4.308568929797765
6.8,0.785,0.0,2.52171585208255,0.23954428011054957,13.939199385706267,30.0,0.9966,3.52,0.55,10.670099264953413,0.316684356016926,8.37602792298843
6.7,0.75,0.12,2.152131605192245,0.20301987091966037,11.89855202732926,80.0,0.9958,3.38,0.52,10.109176077653549,0.677303959298141,7.581882058240161
8.3,0.625,0.2,1.599831089814796,0.0934296497247793,26.865992792887607,119.0,0.9972,3.16,1.12,8.90124310853991,0.2895827046707271,5.563276942837444
6.2,0.45,0.2,1.5568379687281952,0.07695978623760365,3.0432216690759253,15.0,0.9958,3.41,0.56,9.178032811216248,0.5771997464225614,4.130114765047312
7.8,0.43,0.7,1.9403730090336608,0.5194057771115907,21.931861976493042,67.0,0.9974,3.13,1.28,9.435711257151175,0.0658921650319727,4.057355840575005
7.4,0.5,0.47,1.9975804393609085,-0.00017030702562582933,21.09678260240252,73.0,0.997,3.36,0.57,9.247789404474151,0.19128915669651436,4.6238947022370755
7.3,0.67,0.26,1.7096298139269872,0.40400314791640823,16.099378221453044,51.0,0.9969,3.16,1.14,9.348172978172636,0.40740527161134876,6.263275895375666
6.3,0.3,0.48,1.8324359281721603,-0.14623835446091804,18.137391438521146,61.0,0.9959,3.44,0.78,10.219150639710682,0.9369492539086954,3.0657451919132046
6.9,0.55,0.15,2.08209602088402,0.16364556455029355,18.91476132339259,40.0,0.9961,3.41,0.59,10.049824295641546,0.3772519857156954,5.5274033626028505
8.6,0.49,0.28,2.0187679388461564,-0.046149322244185956,20.0475365610692,136.0,0.9972,2.93,1.95,9.991540211770207,0.6640741211998341,4.895854703767402
7.7,0.49,0.26,1.8535382702701606,0.2123419828428999,9.06324542166423,31.0,0.9966,3.39,0.64,9.632875110965967,0.25508722242139814,4.720108804373324
9.3,0.39,0.44,2.120115965587284,0.07398799060335497,33.95258218248961,125.0,0.9978,3.14,1.22,9.447023979623296,0.12703357597323173,3.6843393520530854
7.0,0.62,0.08,1.8283287871546143,0.05483330180688231,7.922822804260712,24.0,0.9978,3.48,0.53,9.051326743311336,0.05853660008005013,5.611822580853028
7.9,0.52,0.26,1.8741095026295922,0.016226609391549435,42.1609520665776,140.0,0.9964,3.23,0.54,9.509707754934803,0.30541349854275135,4.945048032566098
8.6,0.49,0.28,1.9586693801475275,0.08119611260779236,20.022749587573205,136.0,0.9972,2.93,1.95,9.99686449905329,0.15766102679690797,4.898463604536112
8.6,0.49,0.29,1.9525096343377475,0.2518531345148037,19.063596775071172,133.0,0.9972,2.93,1.98,9.729794690612266,0.1740104480161242,4.7675993984000105
7.7,0.49,0.26,1.9871297297457242,-0.18678086565350796,8.917792398817207,31.0,0.9966,3.39,0.64,9.567233785340223,0.76075930838695,4.687944554816709
5.0,1.02,0.04,1.265402031975325,0.17269653860881878,40.87807155334778,85.0,0.9938,3.75,0.48,10.460789184686785,0.015838070944874216,10.670004968380521
4.7,0.6,0.17,2.312637957954641,0.09180234811017082,16.943055022550787,106.0,0.9932,3.85,0.6,12.753648505186788,0.5578101257354344,7.652189103112073
6.8,0.775,0.0,3.1938928999058285,-0.018702164785721564,7.987597861261,23.0,0.9965,3.45,0.56,10.729612027706457,0.3794613805934648,8.315449321472505
7.0,0.5,0.25,1.8999668675394425,-0.03753123930492379,2.893577999318265,22.0,0.9963,3.25,0.63,9.226105527217989,0.5065499999085472,4.613052763608994
7.6,0.9,0.06,2.432225502947515,0.2466393027208203,4.999015519134962,10.0,0.9967,3.39,0.56,9.800511345664248,0.5628302372146029,8.820460211097823
8.1,0.545,0.18,1.9513907849658914,-0.014550687994273129,12.83114948119315,35.0,0.9972,3.3,0.59,8.976541286662485,0.3133676944572782,4.892215001231055
8.3,0.61,0.3,2.11795817819396,-0.03133505105959594,10.887995257753012,50.0,0.9972,3.4,0.61,10.058462925794958,0.2951088601842853,6.135662384734924
7.8,0.5,0.3,1.9350630099273558,0.18873145423647292,8.067091124827687,22.0,0.9959,3.31,0.56,10.357935467723465,0.7334018493349057,5.178967733861732
8.1,0.545,0.18,1.9489187130147663,0.11385528762859143,13.06037905202779,35.0,0.9972,3.3,0.59,8.965728548347323,0.8712769881211572,4.8863220588492915
8.1,0.575,0.22,2.163472146856177,-0.016792557653639892,11.960812323461314,65.0,0.9967,3.29,0.51,9.119772273077837,0.19258163245852788,5.243869057019756
7.2,0.49,0.24,2.3109699841956224,0.0916624975404619,4.898223569092305,36.0,0.996,3.33,0.48,9.3838714288334,0.09761876053514895,4.598097000128366
8.1,0.575,0.22,2.140981865692851,-0.025575268364027737,11.897259644847399,65.0,0.9967,3.29,0.51,9.240405085681454,0.8977958063920259,5.313232924266836
7.8,0.41,0.68,1.6758742345381457,0.5770821398422605,17.962673175405868,69.0,0.9973,3.08,1.31,9.488618590121053,0.34989546364739865,3.8903336219496314
6.2,0.63,0.31,1.7672573701202732,0.19413709648731337,15.064451849164529,64.0,0.9969,3.46,0.79,9.317457781283185,0.5513173906628142,5.869998402208407
8.0,0.33,0.53,2.689988193489522,0.14420061988219432,18.092824569134432,80.0,0.9976,3.37,0.8,9.625755039072276,0.35954314452000347,3.176499162893851
8.1,0.785,0.52,1.9867366253617427,0.15816610612470167,36.950346826451806,153.0,0.9969,3.21,0.69,9.292555408423384,0.1258023363460513,7.294655995612357
7.8,0.56,0.19,1.7025470695329359,0.28011881248673737,11.884650757401522,47.0,0.9964,3.19,0.93,9.308122878470096,0.589331644947728,5.212548811943254
8.4,0.62,0.09,2.3107080669286972,0.08396863273882253,11.026784363786634,108.0,0.9964,3.15,0.66,9.797348612455078,0.5251408517696297,6.074356139722148
8.4,0.6,0.1,2.18796188360464,-0.033187412542080116,13.917646502937416,111.0,0.9964,3.15,0.66,9.806023020994104,0.20299355919119721,5.8836138125964625
10.1,0.31,0.44,2.082733045398596,0.1249473912832307,21.94817473611388,46.0,0.9988,3.32,0.67,9.946324211248529,0.45186904465227784,3.0833605054870437
7.8,0.56,0.19,1.8847421677150422,0.3126047049537114,12.132527609043704,47.0,0.9964,3.19,0.93,9.480763903521888,0.7969475040156458,5.309227785972258
9.4,0.4,0.31,2.146467181404608,-0.011475949318585227,13.082711542856577,62.0,0.9966,3.07,0.63,10.530154734233362,0.5904261031078913,4.2120618936933445
8.3,0.54,0.28,1.8909466717695838,0.04085372333060142,11.015797431225145,40.0,0.9978,3.39,0.61,9.996528823029475,0.09691732706699485,5.398125564435917
7.8,0.56,0.12,2.0331980330569013,0.12364460381014528,6.8728080998887275,28.0,0.997,3.37,0.5,9.283132196238046,0.5480214972291351,5.198554029893306
8.8,0.55,0.04,2.2190499679779068,0.11360951509942607,14.021139656747065,56.0,0.9962,3.21,0.6,11.014282281451502,0.7027382992895869,6.057855254798326
7.0,0.69,0.08,1.870945181713904,-0.0012303580377314577,22.106265729078753,89.0,0.9959,3.34,0.54,9.275193303268678,0.7927034057807514,6.399883379255387
7.3,1.07,0.09,1.6564513629430155,0.2901857856230471,9.962436633423447,89.0,0.9962,3.3,0.57,9.079103194704304,0.6291175786342668,9.714640418333605
8.8,0.55,0.04,2.2513105798176083,0.3510040722017259,14.135111408998672,56.0,0.9962,3.21,0.6,10.809061254520527,0.15265816454078374,5.94498368998629
7.3,0.695,0.0,2.4740453322416083,0.09461314590239073,3.1292745289518207,13.0,0.998,3.49,0.52,9.34027943109361,0.7101732665901607,6.491494204610058
8.0,0.71,0.0,2.6738810480887505,-0.010406828973600027,11.166373283214348,34.0,0.9976,3.44,0.53,9.359814893720772,0.6773418460815164,6.645468574541748
7.8,0.5,0.17,1.6615367484013055,-0.07289605250534752,21.030524312653135,102.0,0.996,3.39,0.48,9.558685709380027,0.02442688294063322,4.779342854690014
9.0,0.62,0.04,1.8064561297955404,0.1717975981221181,27.0587391699806,90.0,0.9984,3.16,0.7,9.619045562580999,0.41174766759024317,5.963808248800219
8.2,1.33,0.0,1.8085982116175032,0.19138773433162576,3.141418728833109,12.0,0.9964,3.53,0.49,10.800946367486931,0.3329502469623733,14.365258668757619
8.1,1.33,0.0,1.7464036554885953,0.12951677464953817,3.0447393937068976,12.0,0.9964,3.54,0.48,10.843370227039722,0.6694120642536434,14.421682401962832
8.0,0.59,0.16,1.8808057798281146,0.06475961590811462,2.949876589220979,16.0,0.9962,3.42,0.92,10.509965136508765,0.21613581231092072,6.200879430540171
6.1,0.38,0.15,1.8367287313401341,0.01307283482106937,5.9551457163472135,19.0,0.9955,3.42,0.57,9.34965243458838,0.5908719229742585,3.5528679251435844
8.0,0.745,0.56,2.183818367679512,0.008783636728191019,30.023855495377372,134.0,0.9968,3.24,0.66,9.244933656893387,0.9132059618141724,6.887475574385573
5.6,0.5,0.09,2.2776534017628145,0.13247513263248822,16.87094385780538,99.0,0.9937,3.63,0.63,13.006856297480603,0.7978023722086077,6.503428148740301
5.6,0.5,0.09,2.2650683203881803,0.14037716213855855,16.98567410846358,99.0,0.9937,3.63,0.63,12.893769628627389,0.9214577362165304,6.4468848143136945
6.6,0.5,0.01,1.4980580394112268,-0.09457297866907333,17.109654711823026,26.0,0.9952,3.4,0.58,9.847359243063519,0.97850596693269,4.923679621531759
7.9,1.04,0.05,2.1696820217165724,0.2429838978180684,12.780874614883471,29.0,0.9959,3.22,0.55,9.80805757657662,0.010670127006162766,10.200379879639684
8.4,0.745,0.11,1.9799941901942049,0.14740712208940013,16.15344821017945,63.0,0.9965,3.19,0.82,9.754993440501753,0.6227412763774776,7.267470113173806
8.3,0.715,0.15,1.6383689391563412,0.22895946451457935,10.112237421870317,52.0,0.9968,3.23,0.77,9.421674670766377,0.41283939775890643,6.736497389597959
7.2,0.415,0.36,1.8946317580853647,-0.053212774848511515,12.954023538416953,45.0,0.9972,3.48,0.64,9.167793848379432,0.8598544903351217,3.804634447077464
7.8,0.56,0.19,1.9932197078420808,-0.0555824155415439,15.05433908278718,105.0,0.9962,3.33,0.54,9.581351721736967,0.2518147020091317,5.365556964172702
7.8,0.56,0.19,2.0950307591973574,0.06610306902327032,17.000314772690633,108.0,0.9962,3.32,0.54,9.376913568356605,0.9810294891150761,5.251071598279699
8.4,0.745,0.11,2.0710613372581923,0.14027844268951942,16.12299903684387,63.0,0.9965,3.19,0.82,9.622745993460413,0.6137079695437473,7.168945765128007
8.3,0.715,0.15,1.7895550781462528,0.26863608229269637,10.098268314276995,52.0,0.9968,3.23,0.77,9.630714275428243,0.793537402228831,6.885960706931193
5.2,0.34,0.0,1.783117827680999,0.12060789138151316,26.8599929276817,63.0,0.9916,3.68,0.79,13.839251676543878,0.08559955282276832,4.705345570024919
6.3,0.39,0.08,1.707005216311318,0.04173187231879667,3.0587262413464176,20.0,0.9954,3.34,0.58,9.418463385853231,0.18345788475886504,3.67320072048276
5.2,0.34,0.0,1.916187830260819,-0.05263692076658921,26.979437214635674,63.0,0.9916,3.68,0.79,14.025988279424842,0.7584036730342032,4.768836015004447
8.1,0.67,0.55,1.7072646865809427,0.24000005727191503,32.00828325705181,141.0,0.9968,3.17,0.62,9.47818228717773,0.02198652203932361,6.35038213240908
5.8,0.68,0.02,1.8238368982734785,-0.009470542575071489,20.92718280990302,94.0,0.9944,3.54,0.52,9.876304928912191,0.8168779858937828,6.715887351660291
7.6,0.49,0.26,1.697519762978243,0.3988468554772322,10.174813706912083,88.0,0.9968,3.11,0.8,9.167954338691573,0.013949018691911452,4.49229762595887
6.9,0.49,0.1,2.3501094169939845,0.045561535039349066,12.104006181990258,30.0,0.9959,3.42,0.58,10.25219415656169,0.6571188390612733,5.023575136715228
8.2,0.4,0.44,2.8189581616598742,0.24805820726178504,10.926022883602704,43.0,0.9975,3.53,0.61,10.52969846732332,0.36509392023180587,4.211879386929328
7.3,0.33,0.47,2.200104609256714,0.14489312900592782,4.866538939308977,11.0,0.9958,3.33,0.53,10.325049285034588,0.6114948527191991,3.407266264061414
9.2,0.52,1.0,3.129676770700076,0.5963004510557541,31.961432736902214,69.0,0.9996,2.74,2.0,9.434644820949698,0.6960314069891137,4.906015306893843
7.5,0.6,0.03,1.8677875319530908,0.043060362817387336,25.04345026460913,99.0,0.995,3.35,0.54,10.031997527842151,0.3424752191863042,6.01919851670529
7.5,0.6,0.03,1.7345924316872576,0.06090921226539202,25.024020584394624,99.0,0.995,3.35,0.54,10.1232253697161,0.10796244811083555,6.073935221829659
7.1,0.43,0.42,5.316936710314354,0.11283166923752376,29.125313282476824,129.0,0.9973,3.42,0.72,10.529307247329868,0.06964586774826564,4.527602116351843
7.1,0.43,0.42,5.551120259952498,0.07871564962177166,28.078991972218084,128.0,0.9973,3.42,0.71,10.428564858197364,0.5889360225625478,4.4842828890248665
7.1,0.43,0.42,5.637365854516296,0.010618859193129493,29.09695690257529,129.0,0.9973,3.42,0.72,10.686577451114475,0.5206553537341115,4.5952283039792245
7.1,0.43,0.42,5.48625514853723,0.05443685896823677,28.032685540061042,128.0,0.9973,3.42,0.71,10.54738329209118,0.7422010091211325,4.535374815599207
7.1,0.68,0.0,2.295287454720294,0.08085770297191497,11.861070126978902,22.0,0.9969,3.48,0.5,9.180869650279735,0.5097355100039371,6.242991362190221
6.8,0.6,0.18,2.0612278257988645,-0.13387340944148124,17.98043014688531,86.0,0.9968,3.59,0.57,9.365655360863384,0.4224457900308791,5.61939321651803
7.6,0.95,0.03,2.131491445358405,0.13581681147886987,7.106008973990867,20.0,0.9959,3.2,0.56,9.502531832977267,0.39808717823623085,9.027405241328402
7.6,0.68,0.02,1.4639964529371394,-0.025972122471680695,8.994847707147535,20.0,0.9965,3.17,1.08,9.278708460374245,0.026446902597667465,6.309521753054487
7.8,0.53,0.04,1.774212749107189,-0.03933324032057452,17.050309036862373,31.0,0.9964,3.33,0.56,10.115859557900741,0.33555720169665715,5.361405565687393
7.4,0.6,0.26,7.307543363890159,-0.09873443471107105,35.96812516847539,121.0,0.9982,3.37,0.49,9.31793176816483,0.9760201575244942,5.590759060898898
7.3,0.59,0.26,7.039803418810283,-0.10938924978678904,34.89701881514581,121.0,0.9981,3.37,0.49,9.496337612924432,0.8735555762270888,5.6028391916254145
7.8,0.63,0.48,1.6753937511870052,-0.03554475031122892,13.98766559359539,96.0,0.9961,3.19,0.62,9.54127809269365,0.3293780670342177,6.011005198397
6.8,0.64,0.1,2.015675340468381,0.014097904236950953,18.030904744303264,101.0,0.9956,3.34,0.52,10.282206015999448,0.5877954050663722,6.580611850239647
7.3,0.55,0.03,1.8170942717497816,0.26732591375265685,16.934431228053857,42.0,0.9956,3.37,0.48,9.189679298265395,0.847296745535494,5.054323614045967
6.8,0.63,0.07,2.0824114187567666,0.036412032410479606,10.976428875514333,44.0,0.9953,3.47,0.55,10.375461188399713,0.44127433675006866,6.5365405486918196
7.5,0.705,0.24,1.8123204806784485,0.37777501062680313,14.906053675801402,63.0,0.9964,3.0,1.59,9.42462638356425,0.01795786375015096,6.644361600412796
7.9,0.885,0.03,1.8551485376040469,0.09804813865063287,4.11192449175641,8.0,0.9972,3.36,0.33,9.011048557037448,0.07451046181864007,7.974777972978141
8.0,0.42,0.17,2.0043602446372453,0.08610651862158487,5.970554424241197,18.0,0.9972,3.29,0.61,9.118418971503456,0.5103927213487066,3.8297359680314513
8.0,0.42,0.17,2.1695051040430755,0.06525565392740063,6.145275554512619,18.0,0.9972,3.29,0.61,9.19228982905859,0.9694393756758783,3.8607617282046074
